"id_alternative","id_criteria","value"
"58","2","83"
"58","3","84"
"58","4","86"
"58","5","91"
"59","1","85"
"59","2","84"
"59","3","89"
"59","4","82"
"59","5","90"
"60","1","88"
"60","2","88"
"60","3","90"
"60","4","81"
"60","5","84"
"61","1","72"
"61","2","77"
"61","3","85"
"61","4","79"
"61","5","75"
"62","1","80"
"62","2","82"
"62","3","74"
"62","4","90"
"62","5","88"
"63","1","90"
"63","2","95"
"63","3","90"
"63","4","91"
"63","5","89"
"64","1","91"
"64","2","92"
"64","3","91"
"64","4","93"
"64","5","89"
"65","1","82"
"65","2","82"
"65","3","87"
"65","4","79"
"65","5","88"
"66","1","90"
"66","2","88"
"66","3","87"
"66","4","90"
"66","5","83"
"67","1","91"
"67","2","93"
"67","3","91"
"67","4","93"
"67","5","95"
"68","1","84"
"68","2","89"
"68","3","85"
"68","4","83"
"68","5","87"
"69","1","89"
"69","2","87"
"69","3","82"
"69","4","87"
"69","5","87"
"70","1","93"
"70","2","85"
"70","3","87"
"70","4","85"
"70","5","80"
"71","1","87"
"71","2","86"
"71","3","83"
"71","4","87"
"71","5","83"
"72","1","87"
"72","2","84"
"72","3","86"
"72","4","90"
"72","5","86"
"73","1","90"
"73","2","93"
"73","3","90"
"73","4","80"
"73","5","89"
"74","1","92"
"74","2","91"
"74","3","90"
"74","4","89"
"74","5","90"
"75","1","87"
"75","2","87"
"75","3","89"
"75","4","79"
"75","5","86"
"76","1","87"
"76","2","88"
"76","3","82"
"76","4","90"
"76","5","87"
"77","1","87"
"77","2","90"
"77","3","90"
"77","4","88"
"77","5","88"
"78","1","82"
"78","2","85"
"78","3","86"
"78","4","84"
"78","5","88"
"79","1","85"
"79","2","80"
"79","3","89"
"79","4","87"
"79","5","81"
"80","1","88"
"80","2","88"
"80","3","82"
"80","4","89"
"80","5","84"
"81","1","92"
"81","2","72"
"81","3","83"
"81","4","91"
"81","5","82"
"82","1","95"
"82","2","83"
"82","3","78"
"82","4","95"
"82","5","95"
"83","1","87"
"83","2","86"
"83","3","75"
"83","4","78"
"83","5","92"
"84","1","80"
"84","2","81"
"84","3","79"
"84","4","72"
"84","5","89"
"85","1","75"
"85","2","90"
"85","3","80"
"85","4","86"
"85","5","88"
"86","1","89"
"86","2","94"
"86","3","83"
"86","4","81"
"86","5","86"
"87","1","79"
"87","2","91"
"87","3","87"
"87","4","74"
"87","5","93"
"88","1","89"
"88","2","76"
"88","3","70"
"88","4","76"
"88","5","90"
"89","1","79"
"89","2","77"
"89","3","81"
"89","4","78"
"89","5","82"
"90","1","91"
"90","2","80"
"90","3","82"
"90","4","80"
"90","5","80"
"91","1","90"
"91","2","85"
"91","3","85"
"91","4","84"
"91","5","78"
"92","1","88"
"92","2","87"
"92","3","88"
"92","4","87"
"92","5","75"
"93","1","82"
"93","2","83"
"93","3","84"
"93","4","86"
"93","5","91"
"94","1","85"
"94","2","84"
"94","3","89"
"94","4","82"
"94","5","90"
"95","1","83"
"95","2","87"
"95","3","90"
"95","4","89"
"95","5","84"
"96","1","82"
"96","2","86"
"96","3","91"
"96","4","87"
"96","5","87"
"97","1","89"
"97","2","80"
"97","3","87"
"97","4","85"
"97","5","90"
"98","1","87"
"98","2","90"
"98","3","83"
"98","4","83"
"98","5","88"
"99","1","85"
"99","2","91"
"99","3","85"
"99","4","84"
"99","5","85"
"100","1","85"
"100","2","82"
"100","3","86"
"100","4","86"
"100","5","83"
"1","1","85"
"1","2","83"
"1","3","86"
"1","4","88"
"1","5","82"
"2","1","86"
"2","2","86"
"2","3","90"
"2","4","86"
"2","5","85"
"3","1","90"
"3","2","86"
"3","3","91"
"3","4","87"
"3","5","89"
"4","1","79"
"4","2","84"
"4","3","87"
"4","4","87"
"4","5","87"
"5","1","90"
"5","2","82"
"5","3","88"
"5","4","82"
"5","5","84"
"6","1","82"
"6","2","83"
"6","3","86"
"6","4","83"
"6","5","86"
"7","1","87"
"7","2","88"
"7","3","85"
"7","4","85"
"7","5","89"
"8","1","86"
"8","2","89"
"8","3","87"
"8","4","89"
"8","5","83"
"9","1","80"
"9","2","81"
"9","3","89"
"9","4","90"
"9","5","81"
"10","1","81"
"10","2","82"
"10","3","82"
"10","4","92"
"10","5","90"
"11","1","88"
"11","2","82"
"11","3","87"
"11","4","90"
"11","5","87"
